model_id,source_repo,source_lang,target_lang,vocab_size,model_type,eval_method,variants,stars,quality_label,status
hplt-en-tr,HPLT/translate-en-tr-v2.0-hplt_opus,hplt,tr,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-he,HPLT/translate-en-he-v2.0-hplt_opus,hplt,he,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
Tower-Plus-2B,Helsinki-NLP/opus-mt-Tower-Plus-2B,Tower,2B,0,translation,seq2seq,,,,failed
he-fr,Helsinki-NLP/opus-mt-he-fr,he,fr,0,translation,seq2seq,"base,ct2,lora",0.5,Experimental,failed
hplt-en-mr,HPLT/translate-en-mr-v2.0-hplt_opus,hplt,mr,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-eo-en,HPLT/translate-eo-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
windy-tier-mbart-large-50-one-to-many-mmt,unknown,windy,mmt,0,translation,seq2seq,,,,failed
ALMA-7B-R,Helsinki-NLP/opus-mt-ALMA-7B-R,ALMA,R,0,translation,seq2seq,,,,failed
hplt-vi-en,HPLT/translate-vi-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-en-hi,WindyProLabs/windy-pair-en-hi,wpl,hi,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-ur,HPLT/translate-en-ur-v2.0-hplt_opus,hplt,ur,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-si-en,HPLT/translate-si-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-bn,HPLT/translate-en-bn-v2.0-hplt_opus,hplt,bn,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-mk,HPLT/translate-en-mk-v2.0-hplt_opus,hplt,mk,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-en-pt,WindyProLabs/windy-pair-en-pt,wpl,pt,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-lv-en,HPLT/translate-lv-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-sk,HPLT/translate-en-sk-v2.0-hplt_opus,hplt,sk,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en,HPLT/translate-en-vi-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-gu,HPLT/translate-en-gu-v2.0-hplt_opus,hplt,gu,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-te,HPLT/translate-en-te-v2.0-hplt_opus,hplt,te,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-af-en,HPLT/translate-af-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-si,HPLT/translate-en-si-v2.0-hplt_opus,hplt,si,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-eo,HPLT/translate-en-eo-v2.0-hplt_opus,hplt,eo,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-kk-en,HPLT/translate-kk-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-af,HPLT/translate-en-af-v2.0-hplt_opus,hplt,af,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-be-en,HPLT/translate-be-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-th-en,HPLT/translate-th-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
mbart-large-50-one-to-many-mmt,Helsinki-NLP/opus-mt-mbart-large-50-one-to-many-mmt,mbart,mmt,0,translation,seq2seq,,,,failed
wpl-zh-en,WindyProLabs/windy-pair-zh-en,wpl,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-fa,HPLT/translate-en-fa-v2.0-hplt_opus,hplt,fa,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
ALMA-13B-R,Helsinki-NLP/opus-mt-ALMA-13B-R,ALMA,R,0,translation,seq2seq,,,,failed
Tower-Plus-9B,Helsinki-NLP/opus-mt-Tower-Plus-9B,Tower,9B,0,translation,seq2seq,,,,failed
hplt-bn-en,HPLT/translate-bn-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-xh,HPLT/translate-en-xh-v2.0-hplt_opus,hplt,xh,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
windy-tier-mbart-large-50-many-to-many-mmt,unknown,windy,mmt,0,translation,seq2seq,,,,failed
hplt-en-be,HPLT/translate-en-be-v2.0-hplt_opus,hplt,be,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-en-fr,WindyProLabs/windy-pair-en-fr,wpl,fr,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-uk,HPLT/translate-en-uk-v2.0-hplt_opus,hplt,uk,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-en-zh,WindyProLabs/windy-pair-en-zh,wpl,zh,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-bg,HPLT/translate-en-bg-v2.0-hplt_opus,hplt,bg,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
windy-tier-m2m100_1.2B,unknown,windy,m2m100_1.2B,0,translation,seq2seq,,,,failed
hplt-en-sr,HPLT/translate-en-sr-v2.0-hplt_opus,hplt,sr,0,translation,seq2seq,"base,ct2,lora",,,failed
hplt-uk-en,HPLT/translate-uk-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
m2m100_1.2B,Helsinki-NLP/opus-mt-m2m100_1.2B,unknown,unknown,0,translation,seq2seq,,,,failed
hplt-he-en,HPLT/translate-he-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-th,HPLT/translate-en-th-v2.0-hplt_opus,hplt,th,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-es-en,WindyProLabs/windy-pair-es-en,wpl,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-hi-en,WindyProLabs/windy-pair-hi-en,wpl,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-kn,HPLT/translate-en-kn-v2.0-hplt_opus,hplt,kn,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-xh-en,HPLT/translate-xh-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-sk-en,HPLT/translate-sk-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-ru-en,WindyProLabs/windy-pair-ru-en,wpl,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-az,HPLT/translate-en-az-v2.0-hplt_opus,hplt,az,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-sr-en,HPLT/translate-sr-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,lora",,,failed
hplt-ml-en,HPLT/translate-ml-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-ja-en,HPLT/translate-ja-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-te-en,HPLT/translate-te-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-ta,HPLT/translate-en-ta-v2.0-hplt_opus,hplt,ta,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-lt-en,HPLT/translate-lt-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-bg-en,HPLT/translate-bg-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-ur-en,HPLT/translate-ur-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-gu-en,HPLT/translate-gu-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-kk,HPLT/translate-en-kk-v2.0-hplt_opus,hplt,kk,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
m2m100_418M,Helsinki-NLP/opus-mt-m2m100_418M,unknown,unknown,0,translation,seq2seq,,,,failed
hplt-en-lt,HPLT/translate-en-lt-v2.0-hplt_opus,hplt,lt,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-nb-en,HPLT/translate-nb-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,lora",,,failed
hplt-en-ko,HPLT/translate-en-ko-v2.0-hplt_opus,hplt,ko,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-en-de,WindyProLabs/windy-pair-en-de,wpl,de,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
windy-tier-Tower-Plus-9B,unknown,windy,9B,0,translation,seq2seq,,,,failed
hplt-ms-en,HPLT/translate-ms-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-ja,HPLT/translate-en-ja-v2.0-hplt_opus,hplt,ja,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-en-ar,WindyProLabs/windy-pair-en-ar,wpl,ar,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-cy,HPLT/translate-en-cy-v2.0-hplt_opus,hplt,cy,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-en-es,WindyProLabs/windy-pair-en-es,wpl,es,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-sl,HPLT/translate-en-sl-v2.0-hplt_opus,hplt,sl,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
ms-ms,Helsinki-NLP/opus-mt-ms-ms,ms,ms,3932,translation,seq2seq,"base,ct2,ct2_int8,lora",4.666666666666667,Gold Standard,api_success
no-no,Helsinki-NLP/opus-mt-no-no,no,no,4000,translation,seq2seq,"base,ct2,ct2_int8,lora",1.5,Basic,api_success
es-gl,Helsinki-NLP/opus-mt-es-gl,es,gl,5805,translation,seq2seq,"base,ct2,ct2_int8,lora",1.8333333333333333,Basic,api_success
gl-es,Helsinki-NLP/opus-mt-gl-es,gl,es,5805,translation,seq2seq,"base,ct2,ct2_int8,lora",3.5,Good,api_success
gl-pt,Helsinki-NLP/opus-mt-gl-pt,gl,pt,5835,translation,seq2seq,"base,ct2,ct2_int8,lora",1.5,Basic,api_success
pt-gl,Helsinki-NLP/opus-mt-pt-gl,pt,gl,5835,translation,seq2seq,"base,ct2,ct2_int8,lora",1.1666666666666667,Basic,api_success
no-sv,Helsinki-NLP/opus-mt-no-sv,no,sv,6455,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
sv-no,Helsinki-NLP/opus-mt-sv-no,sv,no,6457,translation,seq2seq,"base,ct2,ct2_int8,lora",4.166666666666667,High Quality,api_success
az-tr,Helsinki-NLP/opus-mt-az-tr,az,tr,6904,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tr-az,Helsinki-NLP/opus-mt-tr-az,tr,az,6904,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
no-de,Helsinki-NLP/opus-mt-no-de,no,de,7018,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
de-no,Helsinki-NLP/opus-mt-de-no,de,no,7020,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
no-nl,Helsinki-NLP/opus-mt-no-nl,no,nl,7046,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
nl-no,Helsinki-NLP/opus-mt-nl-no,nl,no,7046,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
no-fr,Helsinki-NLP/opus-mt-no-fr,no,fr,7149,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fr-no,Helsinki-NLP/opus-mt-fr-no,fr,no,7151,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
no-pl,Helsinki-NLP/opus-mt-no-pl,no,pl,7166,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
pl-no,Helsinki-NLP/opus-mt-pl-no,pl,no,7166,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi_nb_no_nn_ru_sv_en-SAMI,Helsinki-NLP/opus-mt-fi_nb_no_nn_ru_sv_en-SAMI,fi_nb_no_nn_ru_sv_en,SAMI,7176,translation,seq2seq,"base,ct2,ct2_int8,lora",0.5,Experimental,api_success
pt-eo,Helsinki-NLP/opus-mt-pt-eo,pt,eo,7246,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-pt,Helsinki-NLP/opus-mt-eo-pt,eo,pt,7246,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
no-fi,Helsinki-NLP/opus-mt-no-fi,no,fi,7255,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-no,Helsinki-NLP/opus-mt-fi-no,fi,no,7256,translation,seq2seq,"base,ct2,ct2_int8,lora",4.666666666666667,Gold Standard,api_success
eo-it,Helsinki-NLP/opus-mt-eo-it,eo,it,7276,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
it-eo,Helsinki-NLP/opus-mt-it-eo,it,eo,7276,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
war-en,Helsinki-NLP/opus-mt-war-en,war,en,7278,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-sv,Helsinki-NLP/opus-mt-eo-sv,eo,sv,7284,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
sv-eo,Helsinki-NLP/opus-mt-sv-eo,sv,eo,7284,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-da,Helsinki-NLP/opus-mt-eo-da,eo,da,7286,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
da-eo,Helsinki-NLP/opus-mt-da-eo,da,eo,7286,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
pl-eo,Helsinki-NLP/opus-mt-pl-eo,pl,eo,7325,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-pl,Helsinki-NLP/opus-mt-eo-pl,eo,pl,7325,translation,seq2seq,"base,ct2,ct2_int8,lora",4.833333333333333,Gold Standard,api_success
sh-eo,Helsinki-NLP/opus-mt-sh-eo,sh,eo,7343,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-nl,Helsinki-NLP/opus-mt-eo-nl,eo,nl,7344,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
nl-eo,Helsinki-NLP/opus-mt-nl-eo,nl,eo,7344,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ro-eo,Helsinki-NLP/opus-mt-ro-eo,ro,eo,7347,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-ro,Helsinki-NLP/opus-mt-eo-ro,eo,ro,7347,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-sh,Helsinki-NLP/opus-mt-eo-sh,eo,sh,7347,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
lt-eo,Helsinki-NLP/opus-mt-lt-eo,lt,eo,7388,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
tr-eo,Helsinki-NLP/opus-mt-tr-eo,tr,eo,7395,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-cs,Helsinki-NLP/opus-mt-eo-cs,eo,cs,7397,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
cs-eo,Helsinki-NLP/opus-mt-cs-eo,cs,eo,7397,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-fi,Helsinki-NLP/opus-mt-eo-fi,eo,fi,7439,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
fi-eo,Helsinki-NLP/opus-mt-fi-eo,fi,eo,7439,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
no-ru,Helsinki-NLP/opus-mt-no-ru,no,ru,7466,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ru-no,Helsinki-NLP/opus-mt-ru-no,ru,no,7468,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
no-uk,Helsinki-NLP/opus-mt-no-uk,no,uk,7470,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
uk-no,Helsinki-NLP/opus-mt-uk-no,uk,no,7470,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
af-eo,Helsinki-NLP/opus-mt-af-eo,af,eo,7475,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-af,Helsinki-NLP/opus-mt-eo-af,eo,af,7475,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
hu-eo,Helsinki-NLP/opus-mt-hu-eo,hu,eo,7477,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-hu,Helsinki-NLP/opus-mt-eo-hu,eo,hu,7477,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
is-eo,Helsinki-NLP/opus-mt-is-eo,is,eo,7502,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
rn-es,Helsinki-NLP/opus-mt-rn-es,rn,es,7512,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-rn,Helsinki-NLP/opus-mt-es-rn,es,rn,7512,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-rn,Helsinki-NLP/opus-mt-en-rn,en,rn,7528,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
rn-en,Helsinki-NLP/opus-mt-rn-en,rn,en,7528,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ca-uk,Helsinki-NLP/opus-mt-ca-uk,ca,uk,7545,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
uk-ca,Helsinki-NLP/opus-mt-uk-ca,uk,ca,7545,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
rn-fr,Helsinki-NLP/opus-mt-rn-fr,rn,fr,7560,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
vi-eo,Helsinki-NLP/opus-mt-vi-eo,vi,eo,7568,translation,seq2seq,"base,ct2,ct2_int8,lora",4.5,Gold Standard,api_success
rn-de,Helsinki-NLP/opus-mt-rn-de,rn,de,7574,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
az-es,Helsinki-NLP/opus-mt-az-es,az,es,7590,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
be-es,Helsinki-NLP/opus-mt-be-es,be,es,7630,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ru-eu,Helsinki-NLP/opus-mt-ru-eu,ru,eu,7677,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eu-ru,Helsinki-NLP/opus-mt-eu-ru,eu,ru,7677,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
el-eo,Helsinki-NLP/opus-mt-el-eo,el,eo,7713,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-el,Helsinki-NLP/opus-mt-eo-el,eo,el,7713,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-ru,Helsinki-NLP/opus-mt-eo-ru,eo,ru,7730,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ru-eo,Helsinki-NLP/opus-mt-ru-eo,ru,eo,7730,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ar-eo,Helsinki-NLP/opus-mt-ar-eo,ar,eo,7741,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
hi-ur,Helsinki-NLP/opus-mt-hi-ur,hi,ur,7745,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-hy,Helsinki-NLP/opus-mt-en-hy,en,hy,7754,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
hy-ru,Helsinki-NLP/opus-mt-hy-ru,hy,ru,7756,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ru-hy,Helsinki-NLP/opus-mt-ru-hy,ru,hy,7758,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-he,Helsinki-NLP/opus-mt-eo-he,eo,he,7768,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
he-eo,Helsinki-NLP/opus-mt-he-eo,he,eo,7768,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
bg-eo,Helsinki-NLP/opus-mt-bg-eo,bg,eo,7770,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
eo-bg,Helsinki-NLP/opus-mt-eo-bg,eo,bg,7770,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
rn-ru,Helsinki-NLP/opus-mt-rn-ru,rn,ru,7798,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-CELTIC,Helsinki-NLP/opus-mt-en-CELTIC,en,CELTIC,9001,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
vsl-es,Helsinki-NLP/opus-mt-vsl-es,vsl,es,9980,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
ssp-es,Helsinki-NLP/opus-mt-ssp-es,ssp,es,10785,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-prl,Helsinki-NLP/opus-mt-es-prl,es,prl,10873,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
prl-es,Helsinki-NLP/opus-mt-prl-es,prl,es,10873,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
csg-es,Helsinki-NLP/opus-mt-csg-es,csg,es,11802,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-csg,Helsinki-NLP/opus-mt-es-csg,es,csg,11802,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
en-gv,Helsinki-NLP/opus-mt-en-gv,en,gv,12339,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
gv-en,Helsinki-NLP/opus-mt-gv-en,gv,en,12339,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
es-ber,Helsinki-NLP/opus-mt-es-ber,es,ber,13296,translation,seq2seq,"base,ct2,ct2_int8,lora",5.0,Gold Standard,api_success
